,Full_Date,Date,Time,Hour,Temp_C,RH,VPD
0,2018-05-25 00:02:26,2018-05-25,00:02:26,0,26.53,73.895,0.9
1,2018-05-25 00:07:26,2018-05-25,00:07:26,0,26.188000000000002,75.417,0.83
2,2018-05-25 00:12:26,2018-05-25,00:12:26,0,26.163,75.295,0.84
3,2018-05-25 00:17:26,2018-05-25,00:17:26,0,26.334,74.771,0.86
4,2018-05-25 00:22:26,2018-05-25,00:22:26,0,26.188000000000002,75.97399999999999,0.82
5,2018-05-25 00:27:26,2018-05-25,00:27:26,0,26.041999999999998,76.324,0.8
6,2018-05-25 00:32:26,2018-05-25,00:32:26,0,26.188000000000002,76.061,0.81
7,2018-05-25 00:37:26,2018-05-25,00:37:26,0,26.285,75.348,0.84
8,2018-05-25 00:42:26,2018-05-25,00:42:26,0,26.212,75.774,0.82
9,2018-05-25 00:47:26,2018-05-25,00:47:26,0,25.895,76.529,0.78
10,2018-05-25 00:52:26,2018-05-25,00:52:26,0,25.822,76.368,0.79
11,2018-05-25 00:57:26,2018-05-25,00:57:26,0,26.017,76.465,0.79
12,2018-05-25 01:02:26,2018-05-25,01:02:26,1,25.798000000000002,76.917,0.77
13,2018-05-25 01:07:26,2018-05-25,01:07:26,1,25.798000000000002,76.946,0.77
14,2018-05-25 01:12:26,2018-05-25,01:12:26,1,26.09,76.013,0.81
15,2018-05-25 01:17:26,2018-05-25,01:17:26,1,26.456,74.35300000000001,0.88
16,2018-05-25 01:22:26,2018-05-25,01:22:26,1,26.456,73.733,0.91
17,2018-05-25 01:27:26,2018-05-25,01:27:26,1,25.968000000000004,74.581,0.85
18,2018-05-25 01:32:26,2018-05-25,01:32:26,1,25.944000000000003,74.665,0.85
19,2018-05-25 01:37:26,2018-05-25,01:37:26,1,25.92,74.072,0.87
20,2018-05-25 01:42:26,2018-05-25,01:42:26,1,25.895,73.861,0.87
21,2018-05-25 01:47:26,2018-05-25,01:47:26,1,25.871,74.298,0.86
22,2018-05-25 01:52:26,2018-05-25,01:52:26,1,25.968000000000004,75.02199999999999,0.84
23,2018-05-25 01:57:26,2018-05-25,01:57:26,1,26.017,74.855,0.85
24,2018-05-25 02:02:26,2018-05-25,02:02:26,2,26.115,75.373,0.83
25,2018-05-25 02:07:26,2018-05-25,02:07:26,2,25.701,76.081,0.79
26,2018-05-25 02:12:26,2018-05-25,02:12:26,2,25.749000000000002,75.477,0.81
